QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,Hint
RWR-Gastrointestinal System-017,Gastrointestinal System,,"A 54-year-old man presents to the ER with fever, right upper quadrant abdominal pain, and jaundice for the last 12 hours. He is hypotensive (BP 85/55 mmHg), febrile (39.5°C), and tachycardic (HR 120/min). On abdominal exam, there is RUQ tenderness with guarding. Labs show WBC: 18,000/μL, Bilirubin: 6.8 mg/dL, ALP: 520 IU/L and AST/ALT are mildly elevated. Ultrasound reveals dilated common bile duct and a thick-walled gallbladder with multiple stones. What is the next best step in management?",MRCP,Ultrasound,Urgent laparoscopic cholecystectomy,Urgent open cholecystectomy,ERCP,E,"<span style=""color:green""><b>ERCP</b></span> Acute cholangitis with hypotension, fever, jaundice, and dilated CBD requires urgent biliary decompression; ERCP with sphincterotomy/stone extraction is the first‑line intervention.<br><br><span style=""color:red""><b>MRCP</b></span> Diagnostic only; does not treat obstruction.<br><br><span style=""color:red""><b>Ultrasound</b></span> Already done.<br><br><span style=""color:red""><b>Urgent laparoscopic cholecystectomy</b></span> Risks high in the acute septic setting; decompress the duct first.<br><br><span style=""color:red""><b>Urgent open cholecystectomy</b></span> Not the first‑line decompression approach.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Charcot’s triad + hypotension = decompress the CBD via ERCP immediately.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He’s septic with dilated bile duct and obstructing stones – what procedure both diagnoses and relieves the blockage urgently?"
RWR-Musculoskeletal System-004,Musculoskeletal System,,"A 6-year-old boy is brought to the ER with high-grade fever for 4 days and severe pain in the right hip joint. He refuses to bear weight and cries on passive movement of the joint. On examination, the joint is swollen, warm, and tender. Vital signs: T 39.2°C, HR 130/min, BP 95/60 mmHg.X-ray shows only a joint effusion, without bony involvement.What is the most appropriate initial diagnostic test?",CBC,ESR,CRP,Arthrocentesis,Blood culture,D,"<span style=""color:green""><b>Arthrocentesis</b></span> Joint aspiration for Gram stain, culture, cell count, and crystal analysis is the most important immediate diagnostic test for suspected septic arthritis.<br><br><span style=""color:red""><b>CBC</b></span> Non‑specific for the joint.<br><br><span style=""color:red""><b>ESR</b></span> Supports infection but does not confirm joint source.<br><br><span style=""color:red""><b>CRP</b></span> Likewise non‑specific.<br><br><span style=""color:red""><b>Blood culture</b></span> May identify organism but does not directly evaluate the joint space.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Swollen, hot, painful joint with fever = tap the joint first.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> X‑ray shows only an effusion, but he can’t move his hip and is febrile – what sample from the hip joint itself is needed for diagnosis?"
RWR-Gastrointestinal System-018,Gastrointestinal System,,"A 32-year-old man presents with a persistent purulent discharge from the perianal region for the past 3 months. He has a history of a perianal abscess that was drained surgically 4 months ago. Despite antibiotics and local care, the discharge continues. On examination, there is an external opening with surrounding induration, suspicious for a fistula-in-ano.What is the next best step in management?",MRI pelvis,Examination under anesthesia with fistulotomy,Colonoscopy,CT scan abdomen,Oral antibiotics,B,"<span style=""color:green""><b>Examination under anesthesia with fistulotomy</b></span> A chronic fistula following perianal abscess drainage is best managed by EUA and fistulotomy to delineate the tract and lay it open, provided sphincter involvement allows.<br><br><span style=""color:red""><b>MRI pelvis</b></span> Useful for complex fistulas but not the definitive therapeutic step.<br><br><span style=""color:red""><b>Colonoscopy</b></span> Reserved if inflammatory bowel disease is suspected.<br><br><span style=""color:red""><b>CT scan abdomen</b></span> Not primary for perianal fistula.<br><br><span style=""color:red""><b>Oral antibiotics</b></span> Will not heal an established fistula.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Persistent drainage after abscess = fistula; EUA + fistulotomy is definitive.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The purulent discharge continues after an abscess was drained – what procedure under anesthesia both maps and treats the abnormal track?"
RWR-Trauma-007,Trauma,,"A 10-year-old boy is brought to the emergency department after falling from his bicycle, striking his abdomen on the handlebar. He is alert, responsive, and has stable vital signs (BP 100/70 mmHg, HR 95/min). On abdominal exam, there is mild tenderness in the left upper quadrant without guarding or rigidity. FAST scan shows no free fluid.What is the best next investigation to assess intra-abdominal injury?",FAST scan,Diagnostic peritoneal lavage (DPL),CT abdomen with IV contrast,CT abdomen plain,Exploratory laparotomy,C,"<span style=""color:green""><b>CT abdomen with IV contrast</b></span> A hemodynamically stable patient with localized tenderness after blunt trauma warrants a contrast‑enhanced CT to accurately assess solid organ and hollow viscus injury.<br><br><span style=""color:red""><b>FAST scan</b></span> Already negative.<br><br><span style=""color:red""><b>Diagnostic peritoneal lavage (DPL)</b></span> Now rarely used; CT provides more detail.<br><br><span style=""color:red""><b>CT abdomen plain</b></span> Contrast is essential to detect injuries.<br><br><span style=""color:red""><b>Exploratory laparotomy</b></span> Not indicated in a stable patient without free fluid.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Stable blunt trauma + tenderness → contrast CT.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He’s alert, stable, and FAST is negative – what cross‑sectional scan with contrast would best pick up an internal injury from that handlebar hit?"
RWR-Gastrointestinal System-019,Gastrointestinal System,,"A 70-year-old man presents to the emergency department with diffuse abdominal pain, abdominal distension, and multiple episodes of bilious vomiting for the past 24 hours. On examination, the abdomen is distended, tympanic, and hyperactive bowel sounds are heard. He underwent an open appendectomy 20 years ago. No recent history of trauma, hernia, or malignancy is reported.What is the most likely cause of his current condition?",Strangulated inguinal hernia,Adhesion obstruction,Small bowel volvulus,Carcinoma of colon,Gallstone ileus,B,"<span style=""color:green""><b>Adhesion obstruction</b></span> A history of prior abdominal surgery (open appendectomy) and presentation with bilious vomiting, distension, and hyperactive bowel sounds is classic for adhesive small bowel obstruction.<br><br><span style=""color:red""><b>Strangulated inguinal hernia</b></span> Would have a tender groin mass.<br><br><span style=""color:red""><b>Small bowel volvulus</b></span> Less common; often associated with malrotation in younger patients.<br><br><span style=""color:red""><b>Carcinoma of colon</b></span> More insidious onset, not acute SBO.<br><br><span style=""color:red""><b>Gallstone ileus</b></span> Usually in elderly with air in biliary tree.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Previous surgery + SBO = adhesions until proven otherwise.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He had an operation 20 years ago and now presents with vomiting and distension – what post‑surgical band‑like structure is likely causing the blockage?"
RWR-Reproductive System-003,Reproductive System,,"A 26-year-old woman, G2P1, at 10 weeks of gestation presents with mild vaginal bleeding and lower abdominal discomfort for 2 days. She has no passage of tissue. On examination, her vital signs are stable. Speculum exam shows slight bleeding per vagina, and on bimanual exam the cervical os is closed. Ultrasound shows a live intrauterine pregnancy.What is the most likely diagnosis?",Inevitable abortion,Threatened abortion,Incomplete abortion,Missed abortion,Complete abortion,B,"<span style=""color:green""><b>Threatened abortion</b></span> Vaginal bleeding with a closed cervical os and a live intrauterine pregnancy defines threatened abortion.<br><br><span style=""color:red""><b>Inevitable abortion</b></span> Would have an open os.<br><br><span style=""color:red""><b>Incomplete abortion</b></span> Open os with products of conception passed or visible.<br><br><span style=""color:red""><b>Missed abortion</b></span> Dead fetus retained with closed os.<br><br><span style=""color:red""><b>Complete abortion</b></span> All products passed, os closed.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Bleed + closed os + live fetus = threatened abortion.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> She’s bleeding in early pregnancy, the cervix is closed, and the ultrasound shows a living pregnancy – what term describes this warning without yet losing the pregnancy?"
RWR-Reproductive System-004,Reproductive System,,"A 2-year-old boy is brought by his parents because his testes have not been seen in the scrotum since birth. On examination, neither testis is palpable in the scrotum, but one is found in the inguinal canal. There are no other congenital anomalies.What is the next best step in management?",Observation until 5 years of age,Serum β-hCG stimulation test,Ultrasound of the abdomen and pelvis,Orchidopexy,Bilateral orchidectomy,D,"<span style=""color:green""><b>Orchidopexy</b></span> A palpable undescended testis in an infant >6 months requires surgical orchidopexy, ideally by 12‑18 months, to preserve fertility and reduce malignancy risk.<br><br><span style=""color:red""><b>Observation until 5 years</b></span> Delaying surgery risks irreversible damage.<br><br><span style=""color:red""><b>Serum β‑hCG stimulation test</b></span> Used to differentiate anorchia from cryptorchidism but not the treatment.<br><br><span style=""color:red""><b>Ultrasound of the abdomen and pelvis</b></span> Not necessary when a gonad is palpable in the inguinal canal.<br><br><span style=""color:red""><b>Bilateral orchidectomy</b></span> Would result in castration, not indicated.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Undescended testis palpable in canal → orchidopexy by 12‑18 months.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The testis is felt in the inguinal canal in a 2‑year‑old – what surgical procedure brings it into the scrotum to protect future fertility?"
RWR-Urinary System-002,Urinary System,,"A 45-year-old man undergoes emergency surgery and receives multiple units of packed red blood cells. A few hours later, he develops muscle weakness. ECG shows tall, peaked T waves. Which of the following is the most likely electrolyte abnormality?",Hyperkalemia,Hypokalemia,Hypercalcemia,Hypocalcemia,Hyponatremia,A,"<span style=""color:green""><b>Hyperkalemia</b></span> Stored PRBCs leak potassium; after multiple units, hyperkalemia can occur, presenting with muscle weakness and ECG peaked T waves.<br><br><span style=""color:red""><b>Hypokalemia</b></span> Would cause flat T waves, U waves.<br><br><span style=""color:red""><b>Hypercalcemia</b></span> Not typical of massive transfusion.<br><br><span style=""color:red""><b>Hypocalcemia</b></span> Citrate toxicity can cause hypocalcemia but presents differently (tetany, prolonged QT).<br><br><span style=""color:red""><b>Hyponatremia</b></span> Not specifically linked to transfusion in this context.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Massive transfusion → high potassium (peaked T waves).""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> After many units of blood, he’s weak and his ECG shows tall, tented T waves – what electrolyte came out of the stored cells?"
RWR-Medical Ethics-002,Medical Ethics,,"A 45-year-old man is brought to a hospital for elective hernia repair. The surgeon performs the procedure without obtaining the patient's informed consent, arguing it was urgent.Which ethical principle has been violated?",Beneficence,Non-maleficence,Autonomy,Justice,Confidentiality,C,"<span style=""color:green""><b>Autonomy</b></span> Performing surgery without informed consent violates the patient’s right to self‑determination and make decisions about their own body.<br><br><span style=""color:red""><b>Beneficence</b></span> Acting in the patient’s best interest.<br><br><span style=""color:red""><b>Non‑maleficence</b></span> Avoiding harm.<br><br><span style=""color:red""><b>Justice</b></span> Fair distribution of resources.<br><br><span style=""color:red""><b>Confidentiality</b></span> Protecting patient information.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""No consent = violation of the patient’s right to choose (autonomy).""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The surgeon did not ask permission before operating – which pillar of ethics, centred on the patient’s right to decide, was ignored?"
RWR-Cardiovascular System-012,Cardiovascular System,,"A 55-year-old man presents with progressive abdominal distension and leg swelling for 3 months, and on examination he has raised jugular venous pressure, ascites, peripheral edema, and no cardiac murmurs. Investigations show a normal chest X-ray and echocardiography revealing normal ventricular function with no valvular abnormalities. Which of the following is the most likely cause of his presentation?",Constrictive pericarditis,Right-sided heart failure,Cirrhosis of liver,Nephrotic syndrome,Pulmonary hypertension,C,"<span style=""color:green""><b>Constrictive pericarditis</b></span> Raised JVP, ascites, edema, normal ventricular function, and no valvular disease point to constrictive pericarditis, which impairs diastolic filling.<br><br><span style=""color:red""><b>Right‑sided heart failure</b></span> Would typically show right ventricular dysfunction on echo.<br><br><span style=""color:red""><b>Cirrhosis of liver</b></span> Can cause ascites and edema, but raised JVP and normal echo point to a cardiac/pericardial cause.<br><br><span style=""color:red""><b>Nephrotic syndrome</b></span> Massive proteinuria, not raised JVP.<br><br><span style=""color:red""><b>Pulmonary hypertension</b></span> Would have elevated pulmonary pressures on echo.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""JVD + ascites + normal heart function = think constrictive pericarditis.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> His echo shows normal ventricles and valves, yet his neck veins are full and his belly is swollen – what stiff sac around the heart could cause this?"
RWR-Gastrointestinal System-020,Gastrointestinal System,,"A 65-year-old man presents with sudden onset lower abdominal pain, fever, and nausea. On examination, the abdomen is tender in the left lower quadrant with guarding and rebound tenderness. CT abdomen shows perforated sigmoid diverticulitis with localized peritonitis. Which antibiotic regimen is most appropriate for initial management?",Piperacillin + Tazobactam,Ceftriaxone alone,Ciprofloxacin alone,Vancomycin,Metronidazole alone,A,"<span style=""color:green""><b>Piperacillin + Tazobactam</b></span> A broad‑spectrum regimen covering gram‑negatives and anaerobes is needed for perforated diverticulitis with peritonitis.<br><br><span style=""color:red""><b>Ceftriaxone alone</b></span> Lacks anaerobic coverage.<br><br><span style=""color:red""><b>Ciprofloxacin alone</b></span> Poor anaerobic coverage.<br><br><span style=""color:red""><b>Vancomycin</b></span> Gram‑positive only.<br><br><span style=""color:red""><b>Metronidazole alone</b></span> Covers anaerobes but misses gram‑negatives.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Perforated diverticulitis = cover gram‑negatives + anaerobes.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> CT shows a hole in the sigmoid with localized peritonitis – which antibiotic combination covers both gut‑origin gram‑negatives and anaerobes?"
RWR-Gastrointestinal System-021,Gastrointestinal System,,"A 55-year-old man presents to the emergency department with sudden onset hematemesis and melena. He has a history of peptic ulcer disease and NSAID use. On examination, he is pale, tachycardic, and hypotensive. Endoscopy reveals a posterior wall gastric ulcer with active bleeding.Which artery is most likely the source of bleeding?",Left gastric artery,Right gastric artery,Right gastroepiploic artery,Gastroduodenal artery,Short gastric artery,D,"<span style=""color:green""><b>Gastroduodenal artery</b></span> Posterior duodenal ulcers erode into the gastroduodenal artery (GDA), causing major upper GI bleeding.<br><br><span style=""color:red""><b>Left gastric artery</b></span> Supplies the lesser curvature, less commonly a source of massive posterior bleeding.<br><br><span style=""color:red""><b>Right gastric artery</b></span> Minor supply, rarely the bleeder.<br><br><span style=""color:red""><b>Right gastroepiploic artery</b></span> Greater curvature supply.<br><br><span style=""color:red""><b>Short gastric artery</b></span> Fundus supply, not associated with duodenal ulcer.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Posterior wall duodenal ulcer = gastroduodenal artery hemorrhage.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The endoscopy shows a posterior wall gastric ulcer spurting blood – which large artery runs behind the posterior duodenum in that region?"
RWR-Nervous System-011,Nervous System,,"A 35-year-old man is brought to the ER after a road traffic accident, and on examination, his eye opening is to painful stimulus only, verbal response consists of incomprehensible sounds, and motor response localizes to pain. Calculate the GCS score.",6,8,9,10,12,C,"<span style=""color:green""><b>9</b></span> Eye opening to pain = 2, verbal incomprehensible sounds = 2, motor localizes = 5; total = 9.<br><br><span style=""color:red""><b>6</b></span> Too low for the given responses.<br><br><span style=""color:red""><b>8</b></span> One point short.<br><br><span style=""color:red""><b>10</b></span> Would require better verbal or eye.<br><br><span style=""color:red""><b>12</b></span> Near‑normal; not compatible.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""E2 V2 M5 = 9.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Eyes to pain, incomprehensible sounds, localizing to pain – add those three numbers from the GCS table."
RWR-Nervous System-012,Nervous System,,"A 45-year-old man presents with sudden onset right-sided facial weakness, with inability to close the right eye, loss of forehead wrinkling on the affected side, and no other neurological deficits on examination. Which branch of the facial nerve is most likely involved?",Temporal branch,Zygomatic branch,Buccal branch,Marginal mandibular branch,Cervical branch,A,"<span style=""color:green""><b>Temporal branch</b></span> The temporal branch supplies the frontalis, orbicularis oculi, and corrugator; inability to wrinkle forehead and close the eye indicates upper facial nerve lesion (temporal/zygomatic involvement). Forehead sparing suggests central lesion; complete eye closure failure points to temporal branch.<br><br><span style=""color:red""><b>Zygomatic branch</b></span> Also contributes to eye closure but temporal branch is the primary nerve for forehead and upper eyelid; the question emphasizes forehead wrinkling loss, which is mainly temporal.<br><br><span style=""color:red""><b>Buccal branch</b></span> Mid‑face, not forehead/eye.<br><br><span style=""color:red""><b>Marginal mandibular branch</b></span> Lower lip/chin.<br><br><span style=""color:red""><b>Cervical branch</b></span> Platysma.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Forehead + eye closure = temporal (and zygomatic), but isolated forehead = temporal.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He can’t wrinkle his forehead or shut his eye – which branch of the facial nerve controls those upper face muscles?"
RWR-Gastrointestinal System-022,Gastrointestinal System,,"A 60-year-old man underwent a right hemicolectomy with resection of the distal 2/3 of the ileum and ileocecal valve for carcinoma, and two months later he presents with chronic watery diarrhea that worsens after meals, weight loss and fatigue, glossitis and mild neuropathy. Lab tests show macrocytic anemia and mild electrolyte imbalance. Which of the following is the most important nutrient deficiency to address?",Potassium,Sodium,Vitamin B12,Folate,Calcium,C,"<span style=""color:green""><b>Vitamin B12</b></span> Resection of the distal 2/3 of ileum and ileocecal valve removes the primary site of B12 absorption; macrocytic anemia, glossitis, and neuropathy are classic B12 deficiency signs.<br><br><span style=""color:red""><b>Potassium</b></span> Electrolyte imbalance may occur but not macrocytic anemia.<br><br><span style=""color:red""><b>Sodium</b></span> Not directly causing these findings.<br><br><span style=""color:red""><b>Folate</b></span> Absorbed in jejunum; may be deficient later but the ileal resection specifically impairs B12.<br><br><span style=""color:red""><b>Calcium</b></span> Deficiency causes osteomalacia, not macrocytosis.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Distal ileum gone → B12 gone → macrocytic anemia + neuropathy.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He lost the distal two‑thirds of his ileum, and now has a macrocytic anemia and glossitis – which vitamin absorbed specifically there is missing?"
RWR-Gastrointestinal System-023,Gastrointestinal System,,"A 45-year-old man with a history of acute biliary pancreatitis 8 weeks ago presents with upper abdominal fullness, early satiety, and mild epigastric discomfort. Investigations reveal a large cystic lesion measuring 8 cm in the pancreatic body on ultrasound, and CT scan shows a well-defined, mature pancreatic pseudocyst without evidence of infection. What is the preferred management for this patient?",Percutaneous drainage,Open surgical cystogastrostomy,Endoscopic cystogastrostomy,Observation,Immediate laparotomy,C,"<span style=""color:green""><b>Endoscopic cystogastrostomy</b></span> A mature, uncomplicated pseudocyst >6 cm causing symptoms can be drained internally via endoscopic cystogastrostomy, which is minimally invasive and preferred over surgery.<br><br><span style=""color:red""><b>Percutaneous drainage</b></span> Risks pancreaticocutaneous fistula and infection.<br><br><span style=""color:red""><b>Open surgical cystogastrostomy</b></span> Reserved if endoscopic option fails.<br><br><span style=""color:red""><b>Observation</b></span> Symptomatic, large cysts require intervention.<br><br><span style=""color:red""><b>Immediate laparotomy</b></span> Too aggressive for a stable, non‑infected cyst.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Symptomatic pseudocyst after pancreatitis = internal endoscopic drainage.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Eight weeks after pancreatitis, the well‑defined fluid sac is causing fullness – which scope‑based drainage connects the cyst to the stomach without big surgery?"
RWR-Respiratory System-004,Respiratory System,,A 28-year-old woman with a history of moderate persistent asthma is scheduled for an elective laparoscopic cholecystectomy. She is currently asymptomatic on inhaled corticosteroids and short-acting bronchodilators as needed.Which of the following tests is most useful to assess her fitness for anesthesia?,Arterial blood gases (ABGs),FEV1 / FVC ratio,Total lung capacity,Forced vital capacity (FVC),DLCO,B,"<span style=""color:green""><b>FEV1 / FVC ratio</b></span> In an asthmatic, spirometry with FEV1/FVC ratio best assesses obstructive airway disease and helps predict perioperative respiratory complications.<br><br><span style=""color:red""><b>Arterial blood gases</b></span> Not routinely required in asymptomatic controlled asthma.<br><br><span style=""color:red""><b>Total lung capacity</b></span> Not the best indicator of airway obstruction.<br><br><span style=""color:red""><b>Forced vital capacity (FVC)</b></span> Alone doesn’t capture obstruction.<br><br><span style=""color:red""><b>DLCO</b></span> Measures diffusion, not airflow obstruction.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Asthma pre‑op → check FEV1/FVC to quantify obstruction.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> She has asthma, well controlled – which breathing test ratio is most useful to confirm her airway function is good enough for anesthesia?"
RWR-Gastrointestinal System-024,Gastrointestinal System,,"A 48-year-old woman presents to the emergency department with sudden onset right upper quadrant abdominal pain radiating to the right shoulder, associated with nausea and vomiting for the past 6 hours. She has a low-grade fever and mild jaundice.On examination, there is tenderness in the right hypochondrium, a positive Murphy's sign, and no signs of peritonitis. What is the most appropriate initial investigation?",Ultrasound abdomen,MRCP,ERCP,CT abdomen,HIDA scan,A,"<span style=""color:green""><b>Ultrasound abdomen</b></span> Right upper quadrant ultrasound is the first‑line imaging for suspected acute cholecystitis; it shows wall thickening, pericholecystic fluid, and stones with a positive Murphy’s sign.<br><br><span style=""color:red""><b>MRCP</b></span> Reserved for CBD stone evaluation, not initial.<br><br><span style=""color:red""><b>ERCP</b></span> Therapeutic, not first diagnostic.<br><br><span style=""color:red""><b>CT abdomen</b></span> Second‑line if ultrasound inconclusive.<br><br><span style=""color:red""><b>HIDA scan</b></span> Rarely used now; ultrasound is the primary tool.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""RUQ pain + Murphy’s sign = ultrasound first.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> She has right upper quadrant tenderness and a positive Murphy’s sign – what quick, radiation‑free test directly visualizes the gallbladder and stones?"
RWR-Gastrointestinal System-025,Gastrointestinal System,,"A 60-year-old man underwent an elective colectomy 2 days ago, and now complains of abdominal distension, mild diffuse abdominal discomfort, and no passage of flatus or stool. He has nausea but no vomiting. On examination, his abdomen is distended but soft, bowel sounds are hypoactive, and vital signs are stable. What is the most appropriate initial investigation?",X-ray abdomen (erect & supine),X-ray chest,Ultrasound abdomen,CT abdomen with contrast,Colonoscopy,A,"<span style=""color:green""><b>X-ray abdomen (erect & supine)</b></span> In a postoperative patient with distension and absent flatus, an abdominal X-ray (erect and supine) is the first investigation to differentiate ileus (diffuse gas, no air-fluid levels) from obstruction (air-fluid levels).<br><br><span style=""color:red""><b>X-ray chest</b></span> May show free air under diaphragm if perforation suspected but not the primary investigation for suspected ileus.<br><br><span style=""color:red""><b>Ultrasound abdomen</b></span> Less useful for gaseous distension.<br><br><span style=""color:red""><b>CT abdomen with contrast</b></span> More detailed but not the initial imaging of choice for straightforward postoperative ileus.<br><br><span style=""color:red""><b>Colonoscopy</b></span> Inappropriate and potentially dangerous in an unprepared, distended bowel.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Post-op distension, no flatus → start with plain abdominal films.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Two days after his colectomy, his belly is distended and bowel sounds are hypoactive – which simple X-ray series will show whether there’s a mechanical blockage or just an ileus?"
RWR-Reproductive System-005,Reproductive System,,"A 58-year-old postmenopausal woman presents with intermittent vaginal spotting for the last 3 weeks. She is not on hormone therapy. Transvaginal ultrasound shows an endometrial thickness of 12 mm.Her vital signs are stable, and physical examination is unremarkable.Which is the next best investigation?",Repeat ultrasound in 1 month,Endometrial biopsy,Hysteroscopy without biopsy,MRI pelvis,Pap smear,B,"<span style=""color:green""><b>Endometrial biopsy</b></span> Postmenopausal bleeding with an endometrial thickness >4-5 mm requires endometrial sampling (biopsy) to exclude hyperplasia or carcinoma.<br><br><span style=""color:red""><b>Repeat ultrasound in 1 month</b></span> Delays essential tissue diagnosis.<br><br><span style=""color:red""><b>Hysteroscopy without biopsy</b></span> Visualisation without histology is incomplete.<br><br><span style=""color:red""><b>MRI pelvis</b></span> Not the first diagnostic step.<br><br><span style=""color:red""><b>Pap smear</b></span> Screens for cervical, not endometrial pathology.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Thickened endometrium after menopause = biopsy to rule out cancer.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> She has been spotting for three weeks after menopause, and the lining of her uterus is 12 mm thick on ultrasound – what sampling procedure will directly tell you why?"
RWR-Hematologic System-003,Hematologic System,,"A 60-year-old man presents with easy bruising and prolonged nosebleeds. He has a history of ischemic heart disease and is taking aspirin daily. On examination, there is petechiae on the limbs.Which is the most appropriate initial test to assess his bleeding tendency?",Platelet count,Bleeding time (BT),Prothrombin time (PT),Activated partial thromboplastin time (aPTT),Fibrinogen level,B,"<span style=""color:green""><b>Bleeding time (BT)</b></span> Aspirin irreversibly inhibits platelet cyclooxygenase, impairing aggregation; bleeding time is the most direct screening test for platelet function defect.<br><br><span style=""color:red""><b>Platelet count</b></span> Usually normal with aspirin use.<br><br><span style=""color:red""><b>Prothrombin time (PT)</b></span> Measures warfarin effect and extrinsic pathway.<br><br><span style=""color:red""><b>Activated partial thromboplastin time (aPTT)</b></span> Measures heparin effect and intrinsic pathway.<br><br><span style=""color:red""><b>Fibrinogen level</b></span> Assesses the common pathway substrate, not platelet function.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Aspirin = platelets = bleeding time.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He is on aspirin and bruises easily, with petechiae visible – which test directly measures how well his platelets plug a wound, independent of their count?"
RWR-Endocrine System-006,Endocrine System,,"A 55-year-old man with a history of renal transplantation 6 months ago comes for routine follow-up and feels well, but laboratory results show a serum calcium of 11.6 mg/dL (high), serum phosphorus of 2.1 mg/dL (low), elevated PTH levels, and ultrasound revealing enlarged parathyroid glands. He has no bone pain or neurological symptoms. What is the most appropriate next step in management?",Hydration and monitoring,Calcitonin,Cinacalcet,Parathyroidectomy,Sestamibi scan,D,"<span style=""color:green""><b>Parathyroidectomy</b></span> In renal transplant recipients with persistent hyperparathyroidism (high Ca, low P, elevated PTH, enlarged glands), surgical removal of hyperplastic parathyroid tissue is the definitive treatment.<br><br><span style=""color:red""><b>Hydration and monitoring</b></span> Not sufficient when PTH is elevated and glands enlarged.<br><br><span style=""color:red""><b>Calcitonin</b></span> Temporarily lowers calcium but does not address the autonomous glands.<br><br><span style=""color:red""><b>Cinacalcet</b></span> A calcimimetic that can be used before surgery to control PTH, but parathyroidectomy is the most appropriate next step for enlarged glands and persistent disease.<br><br><span style=""color:red""><b>Sestamibi scan</b></span> Used to localise adenomas in primary hyperparathyroidism; not needed here when ultrasound already shows enlarged glands.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Post-transplant high PTH + big glands = cut them out.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The ultrasound shows enlarged parathyroids after his kidney transplant, and his PTH is still high – what definitive operation will normalise his calcium?"
RWR-Nervous System-013,Nervous System,,A 25-year-old man is brought to the emergency department after a road traffic accident. He has a severe head injury with GCS 7. He is intubated and mechanically ventilated. Which positioning maneuver is most appropriate to reduce intracranial pressure (ICP)?,Reverse Trendelenburg,Trendelenburg,Flat supine,Lateral decubitus,Prone,A,"<span style=""color:green""><b>Reverse Trendelenburg</b></span> Head-up tilt (reverse Trendelenburg) promotes venous outflow from the brain, reducing intracranial pressure, and is standard in neurointensive care for severe head injury.<br><br><span style=""color:red""><b>Trendelenburg</b></span> Head-down position increases ICP and is contraindicated.<br><br><span style=""color:red""><b>Flat supine</b></span> Does not maximise venous drainage.<br><br><span style=""color:red""><b>Lateral decubitus</b></span> No specific ICP-lowering advantage in this setting.<br><br><span style=""color:red""><b>Prone</b></span> Potentially increases ICP.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Head up, ICP down.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He has a severe head injury with low GCS, and you want to help blood drain away from his brain – which position lifts the head without bending the neck?"
